req_id,priority,statement,source_file,source_line,evidence_type,status,related_tests,notes
CM-DATA-001,MUST,"System MUST expose persisted mapping state via context/surface/mapping structs when manager state is queried or serialized.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Public/RshipContentMappingManager.h,214,code,implemented,-,Public struct/query surface
CM-DATA-002,MUST,"System MUST normalize render-context source aliases to canonical camera or asset-store when ingesting/updating context state.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1112,code,implemented,-,NormalizeSourceTypeToken
CM-DATA-003,MUST,"System MUST default context dimensions and capture modes when incoming values are missing/invalid.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1233,code+test,implemented,Rship.ContentMapping.Context.DepthRoundTrip,"Defaults in NormalizeRenderContextState"
CM-DATA-004,MUST,"System MUST normalize mapping-surface UV/material slots by clamping UV channel and deduplicating valid slots.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1076,code,implemented,-,NormalizeMappingSurfaceState
CM-DATA-005,MUST,"System MUST normalize mapping type into canonical surface-uv or surface-projection forms when ingesting mapping state.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1303,code,implemented,-,NormalizeMappingState type branch
CM-DATA-006,MUST,"System MUST normalize UV mode tokens to direct/feed when writing canonical mapping config.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1214,code,implemented,-,NormalizeUvModeToken
CM-DATA-007,MUST,"System MUST normalize projection mode aliases (including surface-uv/surface-feed and direct/feed) into canonical mapping/projection tokens when writing canonical mapping config.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1421,code+test,implemented,Rship.ContentMapping.Parameters.ProjectionTypeRouting;Rship.ContentMapping.Pipeline.CompileProjectionTypeCoverage,NormalizeProjectionModeToken
CM-DATA-008,MUST,"System MUST ensure default UV/projection config blocks exist when mapping config is normalized.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1303,code,implemented,-,uvTransform and projection common defaults
CM-DATA-009,MUST,"System MUST ensure projection subtype config defaults exist when subtype modes are selected.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,1511,code,implemented,-,cylindrical/spherical/parallel/fisheye/cameraPlate/spatial/depth/custom matrix
CM-DATA-010,MUST,"System MUST canonicalize feedV2 coordinateSpace to pixel and ensure sources/destinations/routes arrays exist in feed mode.",/Users/lucid/rship-unreal/Plugins/RshipMapping/Source/RshipMapping/Private/RshipContentMappingManager.cpp,4779,code+test,implemented,Rship.ContentMapping.Feed.ExplicitEmptyArraysPreserved,EnsureFeedMappingRuntimeReady array and coordinateSpace normalization
